date,count,package
2019-11-07,35660,ggplot2
2019-11-08,31914,ggplot2
2019-11-09,20246,ggplot2
2019-11-10,19758,ggplot2
2019-11-11,34894,ggplot2
2019-11-12,39433,ggplot2
2019-11-13,38372,ggplot2
2019-11-14,36852,ggplot2
2019-11-15,32828,ggplot2
2019-11-16,20420,ggplot2
2019-11-17,20686,ggplot2
2019-11-18,38284,ggplot2
2019-11-19,39056,ggplot2
2019-11-20,36511,ggplot2
2019-11-21,42664,ggplot2
2019-11-22,38071,ggplot2
2019-11-23,21411,ggplot2
2019-11-24,21592,ggplot2
2019-11-25,40979,ggplot2
2019-11-26,43498,ggplot2
2019-11-27,39898,ggplot2
2019-11-28,34826,ggplot2
2019-11-29,29254,ggplot2
2019-11-30,20548,ggplot2
2019-12-01,22036,ggplot2
2019-12-02,42975,ggplot2
2019-12-03,43706,ggplot2
2019-12-04,42529,ggplot2
2019-12-05,40421,ggplot2
2019-12-06,44507,ggplot2
2019-12-07,20282,ggplot2
2019-12-08,20346,ggplot2
2019-12-09,39640,ggplot2
2019-12-10,41507,ggplot2
2019-12-11,39932,ggplot2
2019-12-12,37719,ggplot2
2019-12-13,32123,ggplot2
2019-12-14,20592,ggplot2
2019-12-15,20416,ggplot2
2019-12-16,35650,ggplot2
2019-12-17,36712,ggplot2
2019-12-18,34181,ggplot2
2019-12-19,32114,ggplot2
2019-12-20,27622,ggplot2
2019-12-21,17213,ggplot2
2019-12-22,15471,ggplot2
2019-12-23,22060,ggplot2
2019-12-24,18065,ggplot2
2019-12-25,13758,ggplot2
2019-12-26,17682,ggplot2
2019-12-27,18957,ggplot2
2019-12-28,15572,ggplot2
2019-12-29,15442,ggplot2
2019-12-30,22328,ggplot2
2019-12-31,17464,ggplot2
2020-01-01,12905,ggplot2
2020-01-02,23817,ggplot2
2020-01-03,25589,ggplot2
2020-01-04,18100,ggplot2
2020-01-05,17387,ggplot2
2020-01-06,32192,ggplot2
2020-01-07,37478,ggplot2
2020-01-08,37390,ggplot2
2020-01-09,37363,ggplot2
2020-01-10,34969,ggplot2
2020-01-11,20575,ggplot2
2020-01-12,23692,ggplot2
